iter	Passed	Remaining
411	10272	14661
412	10291	14627
413	10313	14598
414	10333	14567
415	10354	14536
416	10375	14505
417	10396	14475
418	10414	14440
419	10435	14410
420	10463	14389
421	10482	14358
422	10501	14325
423	10517	14287
424	10537	14256
425	10552	14218
426	10568	14181
427	10584	14145
428	10601	14110
429	10619	14077
430	10641	14048
431	10659	14014
432	10676	13980
433	10697	13950
434	10716	13919
435	10734	13885
436	10751	13851
437	10767	13815
438	10786	13784
439	10804	13751
440	10821	13717
441	10836	13681
442	10852	13645
443	10867	13608
444	10882	13573
445	10899	13538
446	10916	13505
447	10931	13469
448	10946	13433
449	10961	13397
450	10979	13364
451	10997	13332
452	11012	13298
453	11030	13266
454	11045	13230
455	11060	13195
456	11076	13160
457	11091	13126
458	11111	13096
459	11130	13066
460	11146	13032
461	11161	12997
462	11176	12962
463	11191	12927
464	11208	12895
465	11224	12862
466	11239	12828
467	11255	12794
468	11270	12760
469	11286	12727
470	11302	12693
471	11317	12660
472	11334	12628
473	11350	12595
474	11365	12562
475	11379	12527
476	11393	12492
477	11410	12460
478	11431	12434
479	11448	12402
480	11465	12371
481	11481	12338
482	11497	12306
483	11513	12274
484	11528	12241
485	11546	12212
486	11562	12179
487	11577	12146
488	11590	12111
489	11611	12084
490	11625	12051
491	11642	12021
492	11656	11987
493	11671	11955
494	11687	11923
495	11703	11892
496	11718	11859
497	11739	11834
498	11757	11804
499	11770	11770
500	11784	11737
501	11799	11705
502	11818	11677
503	11847	11659
504	11871	11636
505	11895	11613
506	11921	11592
507	11955	11579
508	11987	11563
509	12034	11562
510	12073	11553
511	12094	11527
512	12118	11503
513	12141	11479
514	12160	11452
515	12181	11426
516	12203	11400
517	12227	11378
518	12252	11355
519	12274	11330
520	12297	11305
521	12317	11278
522	12336	11251
523	12356	11224
524	12372	11194
525	12392	11167
526	12409	11137
527	12423	11106
528	12440	11076
529	12456	11046
530	12472	11016
531	12489	10987
532	12506	10957
533	12523	10929
534	12539	10899
535	12554	10868
536	12569	10837
537	12587	10809
538	12603	10779
539	12618	10748
540	12633	10718
541	12650	10689
542	12665	10659
543	12680	10629
544	12696	10599
545	12711	10569
546	12727	10540
547	12744	10511
548	12761	10483
549	12778	10454
550	12793	10424
551	12809	10395
552	12823	10365
553	12839	10336
554	12854	10307
555	12871	10278
556	12887	10249
557	12902	10220
558	12917	10190
559	12931	10160
560	12945	10129
561	12962	10102
562	12986	10080
563	13005	10053
564	13020	10024
565	13037	9996
566	13065	9977
567	13084	9951
568	13101	9924
569	13116	9894
570	13132	9866
571	13147	9837
572	13165	9811
573	13185	9786
574	13204	9759
575	13223	9734
576	13244	9709
577	13265	9684
578	13281	9657
579	13296	9628
580	13311	9599
581	13326	9571
582	13343	9543
583	13364	9520
584	13386	9496
585	13410	9474
586	13431	9450
587	13452	9425
588	13473	9401
589	13492	9376
590	13509	9348
591	13525	9321
592	13540	9293
593	13556	9265
594	13575	9240
595	13591	9213
596	13608	9186
597	13623	9158
598	13638	9130
599	13653	9102
600	13669	9074
601	13682	9045
602	13707	9024
603	13726	8999
604	13741	8971
605	13756	8944
606	13773	8917
607	13790	8890
608	13805	8863
609	13821	8836
610	13836	8809
611	13852	8782
612	13868	8755
613	13884	8728
614	13900	8701
615	13915	8674
616	13930	8647
617	13947	8621
618	13966	8596
619	13982	8569
620	13998	8543
621	14015	8517
622	14029	8489
623	14045	8463
624	14062	8437
625	14077	8410
626	14090	8382
627	14110	8358
628	14125	8331
629	14138	8303
630	14153	8276
631	14168	8250
632	14184	8223
633	14200	8198
634	14216	8171
635	14231	8144
636	14246	8118
637	14261	8091
638	14276	8065
639	14292	8039
640	14308	8013
641	14323	7987
642	14338	7960
643	14353	7934
644	14371	7909
645	14393	7887
646	14420	7867
647	14442	7845
648	14467	7824
649	14489	7802
650	14511	7779
651	14530	7755
652	14555	7734
653	14575	7711
654	14594	7687
655	14618	7665
656	14637	7641
657	14655	7617
658	14675	7593
659	14701	7573
660	14724	7551
661	14750	7531
662	14773	7509
663	14793	7485
664	14814	7463
665	14835	7440
666	14855	7416
667	14871	7391
668	14891	7367
669	14906	7342
670	14923	7317
671	14941	7292
672	14958	7268
673	14972	7241
674	14988	7216
675	15006	7192
676	15020	7166
677	15042	7144
678	15058	7118
679	15073	7093
680	15086	7066
681	15101	7041
682	15116	7016
683	15134	6991
684	15149	6966
685	15163	6940
686	15178	6915
687	15193	6889
688	15207	6864
689	15224	6839
690	15240	6815
691	15255	6789
692	15271	6765
693	15287	6740
694	15302	6715
695	15315	6689
696	15332	6665
697	15346	6639
698	15361	6615
699	15377	6590
700	15391	6565
701	15406	6540
702	15422	6515
703	15439	6491
704	15454	6466
705	15468	6441
706	15485	6417
707	15499	6392
708	15515	6368
709	15533	6344
710	15550	6320
711	15566	6296
712	15581	6272
713	15597	6247
714	15612	6223
715	15627	6198
716	15641	6173
717	15657	6149
718	15674	6125
719	15688	6100
720	15710	6079
721	15736	6059
722	15764	6039
723	15783	6016
724	15802	5994
725	15827	5973
726	15849	5951
727	15870	5929
728	15895	5909
729	15914	5886
730	15937	5864
731	15955	5841
732	15971	5817
733	15986	5793
734	16003	5770
735	16022	5747
736	16038	5723
737	16056	5700
738	16072	5676
739	16094	5654
740	16109	5630
741	16124	5606
742	16142	5583
743	16157	5559
744	16172	5535
745	16187	5511
746	16203	5487
747	16218	5463
748	16234	5440
749	16249	5416
750	16267	5393
751	16282	5369
752	16297	5345
753	16311	5321
754	16325	5297
755	16340	5274
756	16358	5251
757	16372	5227
758	16388	5203
759	16405	5180
760	16420	5156
761	16435	5133
762	16452	5110
763	16468	5087
764	16484	5063
765	16502	5041
766	16518	5018
767	16533	4994
768	16550	4971
769	16575	4950
770	16597	4929
771	16624	4909
772	16646	4888
773	16668	4867
774	16689	4845
775	16709	4823
776	16725	4800
777	16743	4777
778	16763	4755
779	16781	4733
780	16806	4712
781	16822	4689
782	16839	4666
783	16855	4643
784	16874	4621
785	16905	4602
786	16929	4582
787	16955	4561
788	16978	4540
789	17002	4519
790	17025	4498
791	17045	4476
792	17065	4454
793	17085	4432
794	17110	4412
795	17131	4390
796	17151	4368
797	17170	4346
798	17191	4324
799	17214	4303
800	17237	4282
801	17261	4261
802	17281	4239
803	17303	4218
804	17325	4196
805	17346	4175
806	17366	4153
807	17385	4131
808	17400	4108
809	17455	4094
810	17533	4086
811	17586	4071
812	17618	4052
813	17644	4031
814	17668	4010
815	17702	3991
816	17753	3976
817	17772	3954
818	17792	3932
819	17810	3909
820	17829	3887
821	17847	3864
822	17863	3841
823	17879	3818
824	17895	3796
825	17910	3772
826	17926	3750
827	17943	3727
828	17960	3704
829	17978	3682
830	17994	3659
831	18009	3636
832	18025	3613
833	18040	3590
834	18055	3567
835	18073	3545
836	18089	3522
837	18104	3499
838	18119	3477
839	18135	3454
840	18150	3431
841	18166	3408
842	18182	3386
843	18197	3363
844	18214	3341
845	18229	3318
846	18244	3295
847	18260	3273
848	18276	3250
849	18292	3228
850	18308	3205
851	18360	3189
852	18398	3170
853	18438	3152
854	18515	3140
855	18576	3125
856	18618	3106
857	18635	3084
858	18650	3061
859	18666	3038
860	18683	3016
861	18700	2993
862	18715	2971
863	18730	2948
864	18746	2925
865	18765	2903
866	18787	2882
867	18809	2860
868	18826	2838
869	18842	2815
870	18858	2793
871	18874	2770
872	18890	2748
873	18906	2725
874	18922	2703
875	18940	2681
876	18957	2658
877	18974	2636
878	18989	2613
879	19006	2591
880	19022	2569
881	19037	2546
882	19055	2524
883	19076	2503
884	19098	2481
885	19123	2460
886	19149	2439
887	19170	2417
888	19287	2408
889	19336	2389
890	19405	2373
891	19463	2356
892	19500	2336
893	19530	2315
894	19556	2294
895	19579	2272
896	19601	2250
897	19630	2229
898	19651	2207
899	19676	2186
900	19697	2164
901	19723	2142
902	19746	2121
903	19770	2099
904	19792	2077
905	19819	2056
906	19845	2034
907	19868	2013
908	19889	1991
909	19908	1969
910	19940	1948
911	19960	1926
912	19976	1903
913	19992	1881
914	20009	1858
915	20025	1836
916	20043	1814
917	20060	1791
918	20077	1769
919	20092	1747
920	20109	1724
921	20127	1702
922	20147	1680
923	20173	1659
924	20191	1637
925	20208	1614
926	20224	1592
927	20240	1570
928	20258	1548
929	20273	1525
930	20289	1503
931	20305	1481
932	20322	1459
933	20339	1437
934	20356	1415
935	20371	1392
936	20388	1370
937	20404	1348
938	20420	1326
939	20443	1304
940	20460	1282
941	20477	1260
942	20493	1238
943	20509	1216
944	20525	1194
945	20540	1172
946	20556	1150
947	20575	1128
948	20592	1106
949	20611	1084
950	20632	1063
951	20650	1041
952	20669	1019
953	20693	997
954	20709	975
955	20724	953
956	20741	931
957	20757	910
958	20773	888
959	20790	866
960	20805	844
961	20821	822
962	20838	800
963	20854	778
964	20870	756
965	20887	735
966	20904	713
967	20923	691
968	20940	669
969	20956	648
970	20971	626
971	20986	604
972	21003	582
973	21019	561
974	21034	539
975	21050	517
976	21066	495
977	21082	474
978	21099	452
979	21114	430
980	21130	409
981	21145	387
982	21162	365
983	21178	344
984	21193	322
985	21212	301
986	21228	279
987	21243	258
988	21257	236
989	21272	214
990	21287	193
991	21303	171
992	21319	150
993	21334	128
994	21350	107
995	21366	85
996	21399	64
997	21421	42
998	21438	21
999	21454	0
